Depth (ft),Weight on bit (k-lbs),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),ROP (ft/hr)
479.4,6.7,52.7,4.62,54.19,885.65,83.18
480.41,11.66,47.74,4.59,78.78,896.51,54.84
481.45,13.16,46.24,4.62,85.56,898.14,67.85
482.47,15.66,43.74,4.62,81.44,898.76,79.62
483.49,12.28,47.12,4.66,81.99,899.58,60.04
484.5,17.11,42.29,4.66,75.46,897.12,61.04
485.52,14.96,44.44,4.7,76.44,898.14,50.17
486.54,10.17,49.23,4.7,77.14,897.73,58.14
487.55,12.63,46.77,4.7,76.47,890.57,39.81
488.57,15.44,43.96,4.7,83.94,896.51,47.76
489.59,15.26,44.14,4.74,80.62,897.12,45.78
490.61,13.81,45.59,4.78,77.9,894.87,65.4
491.62,15.26,44.14,4.78,85.98,891.38,55.08
492.66,10.78,48.62,4.82,85.89,887.28,124.4
493.68,3.63,55.77,4.82,88.21,884.21,135.66
494.73,9.95,49.45,4.82,87.6,891.58,190.07
495.75,10.21,49.19,4.82,93.58,886.05,241.92
496.77,5.73,53.67,4.82,89.52,891.17,244.23
497.86,9.64,49.76,4.82,95.11,885.44,262.66
498.96,6.66,52.74,4.82,93.37,829.53,231.77
499.96,6.66,52.74,4.82,93.37,829.53,231.77
500.01,8.06,51.34,4.82,94.04,883.8,237.59
501.03,10.04,49.36,4.82,101.3,803.94,215.04
502.07,11.14,48.26,4.82,100.08,881.35,219.56
503.09,11.4,48,4.82,89.1,846.12,152.62
504.14,14.61,44.79,4.78,76.74,851.91,93.3
505.16,15.4,44,4.78,72.71,851.09,61.03
506.18,19.3,40.1,4.78,65.76,850.47,76.3
507.21,16.14,43.26,4.74,90.77,851.7,38.78
508.23,11.88,47.52,4.74,84,852.52,91.07
509.25,16.85,42.55,4.74,85.19,851.09,81.39
510.28,10.65,48.75,4.74,84.25,846.38,64.41
511.3,9.6,49.8,4.74,82.38,845.96,83.24
512.32,9.95,49.45,4.78,60.48,853.74,69.11
513.38,16.93,42.47,4.74,86.87,849.85,95.06
514.39,8.9,50.5,4.78,65.45,852.72,64.29
515.43,12.06,47.34,4.78,95.63,851.69,70.44
